Name;Example;Description;Param1;Param1Type;Param1Required;Param1Description;Param2;Param2Type;Param2Required;Param2Description
set_alarm;Set an alarm for 10 o'clock.;Sets an alarm for the given time;time;string;1;The given time in HH:MM 24H format;message;string;0;the message or the name of the alarm
set_timer;Set a timer for 10 minutes.;Sets a timer for a given period;time;string;1;The given time period in HH:MM:SS format;message;string;0;the message or the name of the reminder
take_picture;Take a picture or Open camera;opens camera application in picture mode;;;;;;;;
record_video;Record a video;opens camera application in video mode;;;;;;;;
search_web;Search for the term something on the internet or web or online;Searches the web with the given query parameter;query;string;1;The thing to search on the internet;;;;
bluetooth_on;Turn on bluetooth;turns on bluetooth;;;;;;;;
settings;open the settings;Opens general settings;;;;;;;;
wifi_settings;open wifi settings;Opens wifi settings;;;;;;;;
wireless_settings;open wireless settings;Opens wireless settings;;;;;;;;
airplane_settings;open airplane mode settings;Opens airplane mode settings;;;;;;;;
apn_settings;open apn settings;opens apn settings;;;;;;;;
bluetooth_settings;open bluetooth settings;Opens bluetooth settings;;;;;;;;
date_settings;open date settings;opens date settings;;;;;;;;
locale_settings;open locale settings;Opens locale settings;;;;;;;;
input_settings;open input settings;Opens input method settings;;;;;;;;
display_settings;open display settings;Opens display settings;;;;;;;;
security_settings;open security settings;Opens security settings;;;;;;;;
location_settings;open location settings;opens location source settings;;;;;;;;
internalstorage_settings;open internal storage settings;Opens internal storage settings;;;;;;;;
memorycard_settings;open memory card settings;opens memory card settings;;;;;;;;
create_note;Create a note to something;Creates a note or a reminder;text;string;1;The text of the note;subject;string;0;the subject or the name of the note
add_event;Add an event to my calendar on the 5th of august;Adds an event on the name title to the calendar;title;string;0;The title for the calendar event;date;string;1;the start date of the event in MM.dd. format
start_call;Call someone.;Starts a call with the given person;name;string;1;The name of the given person;;;;
send_text;Send a text to someone.;Sends a text to a person;name;string;1;The name of the given person;message;string;1;The message
play_music;play bohemian rhapsody from queen;Plays a music based on a search query;query;string;1;The query, it can be a name or a music, or both;;;;
create_note;Remind me to something;Creates a note or a reminder;text;string;1;The text of the note;subject;string;0;the subject or the name of the note
search_web;Search for something on the internet or web or online;Searches the web with the given query parameter;query;string;1;The thing to search on the internet;;;;
play_music;play the music named bohemian rhapsody;Plays a music based on a search query;query;string;1;The query, it can be a name or a music, or both;;;;
play_music;play track title;Plays a music based on a search query;query;string;1;The query, it can be a name or a music, or both;;;;
start_call;Start a call with someone.;Starts a call with the given person;name;string;1;The name of the given person;;;;
set_alarm;Set an alarm for 10 o'clock.;Sets an alarm for the given time;time;string;1;The given time in HH:MM 24H format;message;string;0;the message or the name of the alarm
set_timer;Set a timer for 10 minutes.;Sets a timer for a given period;time;string;1;The given time period in HH:MM:SS format;message;string;0;the message or the name of the reminder
take_picture;Take a picture or Open camera;opens camera application in picture mode;;;;;;;;
record_video;Record a video;opens camera application in video mode;;;;;;;;
search_web;Search for the term something on the internet or web or online;Searches the web with the given query parameter;query;string;1;The thing to search on the internet;;;;
bluetooth_on;Turn on bluetooth;turns on bluetooth;;;;;;;;
settings;open the settings;Opens general settings;;;;;;;;
wifi_settings;open wifi settings;Opens wifi settings;;;;;;;;
wireless_settings;open wireless settings;Opens wireless settings;;;;;;;;
airplane_settings;open airplane mode settings;Opens airplane mode settings;;;;;;;;
apn_settings;open apn settings;opens apn settings;;;;;;;;
bluetooth_settings;open bluetooth settings;Opens bluetooth settings;;;;;;;;
date_settings;open date settings;opens date settings;;;;;;;;
locale_settings;open locale settings;Opens locale settings;;;;;;;;
input_settings;open input settings;Opens input method settings;;;;;;;;
display_settings;open display settings;Opens display settings;;;;;;;;
security_settings;open security settings;Opens security settings;;;;;;;;
location_settings;open location settings;opens location source settings;;;;;;;;
internalstorage_settings;open internal storage settings;Opens internal storage settings;;;;;;;;
memorycard_settings;open memory card settings;opens memory card settings;;;;;;;;
create_note;Create a note to something;Creates a note or a reminder;text;string;1;The text of the note;subject;string;0;the subject or the name of the note
add_event;Add an event to my calendar on the 5th of august;Adds an event on the name title to the calendar;title;string;0;The title for the calendar event;date;string;1;the start date of the event in MM.dd. format
start_call;Call someone.;Starts a call with the given person;name;string;1;The name of the given person;;;;
send_text;Send a text to someone.;Sends a text to a person;name;string;1;The name of the given person;message;string;1;The message
play_music;play bohemian rhapsody from queen;Plays a music based on a search query;query;string;1;The query, it can be a name or a music, or both;;;;
create_note;Remind me to something;Creates a note or a reminder;text;string;1;The text of the note;subject;string;0;the subject or the name of the note
search_web;Search for something on the internet or web or online;Searches the web with the given query parameter;query;string;1;The thing to search on the internet;;;;
play_music;play the music named bohemian rhapsody;Plays a music based on a search query;query;string;1;The query, it can be a name or a music, or both;;;;
play_music;play track title;Plays a music based on a search query;query;string;1;The query, it can be a name or a music, or both;;;;
start_call;Start a call with someone.;Starts a call with the given person;name;string;1;The name of the given person;;;;
set_alarm;Set an alarm for 10 o'clock.;Sets an alarm for the given time;time;string;1;The given time in HH:MM 24H format;message;string;0;the message or the name of the alarm
set_timer;Set a timer for 10 minutes.;Sets a timer for a given period;time;string;1;The given time period in HH:MM:SS format;message;string;0;the message or the name of the reminder
take_picture;Take a picture or Open camera;opens camera application in picture mode;;;;;;;;
record_video;Record a video;opens camera application in video mode;;;;;;;;
search_web;Search for the term something on the internet or web or online;Searches the web with the given query parameter;query;string;1;The thing to search on the internet;;;;
bluetooth_on;Turn on bluetooth;turns on bluetooth;;;;;;;;
settings;open the settings;Opens general settings;;;;;;;;
wifi_settings;open wifi settings;Opens wifi settings;;;;;;;;
wireless_settings;open wireless settings;Opens wireless settings;;;;;;;;
airplane_settings;open airplane mode settings;Opens airplane mode settings;;;;;;;;
apn_settings;open apn settings;opens apn settings;;;;;;;;
bluetooth_settings;open bluetooth settings;Opens bluetooth settings;;;;;;;;
date_settings;open date settings;opens date settings;;;;;;;;
locale_settings;open locale settings;Opens locale settings;;;;;;;;
input_settings;open input settings;Opens input method settings;;;;;;;;
display_settings;open display settings;Opens display settings;;;;;;;;
security_settings;open security settings;Opens security settings;;;;;;;;
location_settings;open location settings;opens location source settings;;;;;;;;
internalstorage_settings;open internal storage settings;Opens internal storage settings;;;;;;;;
memorycard_settings;open memory card settings;opens memory card settings;;;;;;;;
create_note;Create a note to something;Creates a note or a reminder;text;string;1;The text of the note;subject;string;0;the subject or the name of the note
add_event;Add an event to my calendar on the 5th of august;Adds an event on the name title to the calendar;title;string;0;The title for the calendar event;date;string;1;the start date of the event in MM.dd. format
start_call;Call someone.;Starts a call with the given person;name;string;1;The name of the given person;;;;
send_text;Send a text to someone.;Sends a text to a person;name;string;1;The name of the given person;message;string;1;The message
play_music;play bohemian rhapsody from queen;Plays a music based on a search query;query;string;1;The query, it can be a name or a music, or both;;;;
create_note;Remind me to something;Creates a note or a reminder;text;string;1;The text of the note;subject;string;0;the subject or the name of the note
search_web;Search for something on the internet or web or online;Searches the web with the given query parameter;query;string;1;The thing to search on the internet;;;;
play_music;play the music named bohemian rhapsody;Plays a music based on a search query;query;string;1;The query, it can be a name or a music, or both;;;;
play_music;play track title;Plays a music based on a search query;query;string;1;The query, it can be a name or a music, or both;;;;
start_call;Start a call with someone.;Starts a call with the given person;name;string;1;The name of the given person;;;;
set_alarm;Set an alarm for 10 o'clock.;Sets an alarm for the given time;time;string;1;The given time in HH:MM 24H format;message;string;0;the message or the name of the alarm
set_timer;Set a timer for 10 minutes.;Sets a timer for a given period;time;string;1;The given time period in HH:MM:SS format;message;string;0;the message or the name of the reminder
take_picture;Take a picture or Open camera;opens camera application in picture mode;;;;;;;;
record_video;Record a video;opens camera application in video mode;;;;;;;;
search_web;Search for the term something on the internet or web or online;Searches the web with the given query parameter;query;string;1;The thing to search on the internet;;;;
